Time_Stamp,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,SpineBase,TrimmingId
0,-6224;7156;12420,1123;-444;-926,-0.03419492;0.05344097;1.328024,0.1403783;0.03157241;1.3596,0.243706;-0.1374171;1.395368,0.2170024;-0.2096529;1.166498,-0.0326825;-0.4387491;1.458913,0
32,-6212;7136;12528,1136;-431;-935,-0.03417029;0.05345986;1.32806,0.1404044;0.031499;1.359651,0.2453793;-0.1380336;1.394963,0.217263;-0.2098935;1.166142,-0.03259963;-0.4387573;1.459012,0
66,-6156;7128;12380,1082;-436;-895,-0.03410035;0.05351746;1.328225,0.1403102;0.03154993;1.359707,0.2418015;-0.1374716;1.396634,0.2167287;-0.2094898;1.167512,-0.0326245;-0.43876;1.459031,0
97,-6208;7108;12540,1113;-428;-919,-0.03404883;0.05342671;1.327997,0.1401743;0.03162595;1.359595,0.2449618;-0.137949;1.394488,0.2170951;-0.2100161;1.165702,-0.03281219;-0.4386874;1.458594,0
132,-6224;7100;12436,1111;-418;-931,-0.03405735;0.05343833;1.327979,0.1400833;0.03160872;1.359627,0.2411935;-0.1371379;1.396358,0.216534;-0.2094601;1.167288,-0.03291846;-0.4386688;1.458584,0
164,-6048;7192;12492,1094;-398;-930,-0.03410603;0.05369959;1.32879,0.140245;0.03162182;1.360166,0.2390661;-0.1359619;1.398835,0.2163221;-0.2088274;1.169744,-0.03249667;-0.4386281;1.45997,0
196,-6136;7044;12384,1092;-416;-949,-0.03410774;0.05370213;1.328793,0.1402643;0.03161453;1.36018,0.2410913;-0.1365698;1.39777,0.2166135;-0.2092076;1.168783,-0.03256802;-0.4385937;1.459975,0
230,-6220;7108;12396,1062;-408;-955,-0.03410522;0.05370709;1.328796,0.140288;0.03156944;1.3602,0.2394063;-0.1361931;1.397996,0.2162971;-0.2091324;1.168964,-0.03258339;-0.438595;1.459974,0
264,-6296;7056;12380,1116;-420;-944,-0.03410647;0.05370885;1.3288,0.1403248;0.03166201;1.360183,0.2386917;-0.1360531;1.398115,0.2161698;-0.2090786;1.169052,-0.03250252;-0.4385247;1.460059,0
300,-6208;7060;12312,1061;-369;-939,-0.03409673;0.05371394;1.328831,0.1403589;0.03164153;1.360201,0.2424227;-0.1369513;1.396418,0.216722;-0.2096837;1.167594,-0.03249899;-0.4385222;1.460064,0
331,-6180;7020;12508,1127;-429;-851,-0.03412928;0.05378785;1.329184,0.1403942;0.03164807;1.360453,0.2433317;-0.1375629;1.396498,0.2169091;-0.209942;1.167643,-0.03256526;-0.4384961;1.460357,0
366,-6116;7092;12344,1108;-367;-982,-0.03412275;0.05378494;1.329154,0.1404343;0.03178346;1.360282,0.2444424;-0.1373737;1.396676,0.2171396;-0.2098185;1.167945,-0.03254645;-0.4384764;1.460254,0
396,-6296;7184;12364,1040;-361;-947,-0.03412313;0.05378437;1.329154,0.1404418;0.03177249;1.360274,0.2411362;-0.1360778;1.397558,0.2166099;-0.2093488;1.16878,-0.03248962;-0.4385199;1.460242,0
429,-6080;6976;12488,1052;-336;-931,-0.03412427;0.0537807;1.329152,0.1404658;0.03183055;1.360258,0.2393516;-0.1355257;1.398226,0.2163146;-0.2090938;1.169391,-0.03250317;-0.438522;1.460217,0
466,-6372;7112;12500,1184;-329;-909,-0.03411347;0.05374913;1.32912,0.140467;0.03175657;1.360197,0.2440244;-0.1372892;1.395783,0.2169801;-0.2100278;1.167116,-0.03248908;-0.4385466;1.460177,0
499,-6216;7160;12344,1075;-385;-890,-0.03411143;0.05370931;1.329047,0.1403253;0.03174829;1.360151,0.2405511;-0.1366287;1.396114,0.2163438;-0.2098272;1.167279,-0.03249473;-0.4385462;1.460168,0
531,-6152;7140;12600,1072;-413;-930,-0.03410308;0.05363094;1.328722,0.1402256;0.03172855;1.360114,0.2437384;-0.1379171;1.394022,0.2166426;-0.2103698;1.165268,-0.03268016;-0.4386219;1.459644,0
562,-6200;7060;12520,1126;-385;-927,-0.03411833;0.05363218;1.328727,0.1402265;0.03172986;1.360112,0.2402308;-0.1366761;1.395705,0.2159823;-0.209562;1.166772,-0.03283676;-0.4385739;1.459631,0
595,-6140;7080;12400,1124;-384;-923,-0.03410026;0.05359513;1.328714,0.1402288;0.03172782;1.360109,0.2440079;-0.1391734;1.389432,0.2156675;-0.211296;1.16072,-0.03276101;-0.4385993;1.459661,0
630,-6244;7016;12496,1144;-416;-915,-0.0341248;0.05359962;1.32928,0.1402983;0.03167121;1.360737,0.2375009;-0.1359216;1.397471,0.2141706;-0.2081791;1.168241,-0.03251237;-0.4387605;1.460377,0
663,-6232;7060;12480,1114;-380;-940,-0.03413181;0.05357116;1.329214,0.1403119;0.03180916;1.360539,0.2458741;-0.1381589;1.391649,0.2139691;-0.2087131;1.162909,-0.0325349;-0.4387336;1.460404,0
697,-6260;7084;12364,1157;-424;-946,-0.03417732;0.05358685;1.329307,0.1403386;0.03181853;1.360745,0.2504433;-0.1400628;1.385567,0.2129991;-0.2095037;1.157319,-0.03238739;-0.4387258;1.460661,0
733,-6292;7024;12452,1147;-440;-950,-0.03414121;0.05357067;1.329279,0.1403417;0.03181825;1.360745,0.2516382;-0.1407668;1.381425,0.2116632;-0.2093683;1.153347,-0.03239154;-0.4387274;1.46067,0
766,-6284;7024;12520,1104;-487;-913,-0.03413391;0.053579;1.329479,0.1403904;0.03197129;1.360872,0.2518772;-0.1411852;1.380372,0.211067;-0.2087492;1.152127,-0.03231064;-0.4385893;1.461337,0
796,-6248;7136;12540,1176;-562;-925,-0.03416118;0.05357942;1.329501,0.1404478;0.03193568;1.36096,0.2521885;-0.1410225;1.380466,0.2107397;-0.2072719;1.151945,-0.03234064;-0.4385687;1.461405,0
829,-6084;7036;12448,1155;-492;-980,-0.03414906;0.05356205;1.329498,0.1404659;0.03189881;1.360922,0.2521714;-0.140952;1.380429,0.210247;-0.205243;1.151428,-0.03233666;-0.4385159;1.461436,0
863,-6272;7048;12336,1127;-479;-949,-0.03418864;0.05355688;1.329468,0.1405348;0.0321052;1.360849,0.2522255;-0.140974;1.380398,0.2099937;-0.2036323;1.150994,-0.03231672;-0.4384995;1.461462,0
896,-6016;6964;12352,1039;-393;-976,-0.03418978;0.05355714;1.329467,0.1405178;0.0320902;1.360848,0.2352952;-0.1350054;1.400513,0.2089408;-0.1968784;1.168504,-0.03228533;-0.4384967;1.461495,0
932,-6204;7124;12496,1184;-477;-936,-0.03421647;0.05355886;1.32954,0.1404954;0.03206647;1.360926,0.2343543;-0.1350264;1.402069,0.2085909;-0.1950213;1.169379,-0.03224884;-0.4384377;1.461666,0
965,-6320;7212;12476,1120;-492;-914,-0.03421868;0.05355315;1.329524,0.1405072;0.03194382;1.36092,0.249641;-0.1374505;1.387027,0.2100489;-0.1964781;1.156182,-0.0322016;-0.4384042;1.461758,0
996,-6192;7108;12524,1150;-480;-920,-0.03415852;0.05359309;1.329857,0.1405649;0.03185197;1.361385,0.2508955;-0.1377452;1.386262,0.2102025;-0.1942697;1.154973,-0.03196753;-0.4382764;1.462702,0
1030,-6264;7156;12320,1191;-326;-1032,-0.03416376;0.05359595;1.329853,0.1405623;0.03179887;1.361366,0.2514605;-0.1382948;1.385613,0.210861;-0.1919508;1.153617,-0.03189716;-0.4382443;1.462736,0
1062,-6068;7008;12620,1086;-478;-944,-0.03416534;0.05355785;1.329649,0.1404701;0.03171926;1.361099,0.2522595;-0.1380986;1.385694,0.212311;-0.1888878;1.152931,-0.03195386;-0.4381915;1.462677,0
1096,-6188;7124;12520,1114;-469;-967,-0.03421313;0.05355628;1.329617,0.1404574;0.03180686;1.360975,0.2411749;-0.1329521;1.397049,0.2129001;-0.1839499;1.162502,-0.03187323;-0.438105;1.462741,0
1130,-6260;7096;12504,1063;-462;-962,-0.03414911;0.05350867;1.329412,0.1402562;0.0316629;1.360856,0.2221237;-0.1649705;1.460525,0.2334227;-0.1839796;1.212096,-0.03185013;-0.4381228;1.46259,0
1166,-6128;7056;12556,1102;-471;-965,-0.03414623;0.05351091;1.329415,0.1402924;0.0316881;1.360854,0.2221514;-0.1647763;1.460015,0.2317289;-0.2137689;1.217421,-0.03171641;-0.4378598;1.462834,0
1196,-6336;7128;12456,1078;-460;-976,-0.03414166;0.05350865;1.329416,0.1403463;0.03157922;1.3609,0.2297406;-0.1370976;1.404488,0.2155838;-0.1817987;1.167212,-0.03163593;-0.4378199;1.462871,0
1229,-6136;7020;12316,1130;-430;-919,-0.03414932;0.05350757;1.329399,0.1404293;0.03160169;1.360896,0.2192707;-0.1647338;1.455648,0.2249691;-0.2116706;1.200007,-0.03176346;-0.4378231;1.462846,0
1264,-6160;7116;12472,1087;-476;-941,-0.03411495;0.05352385;1.329469,0.1402989;0.03152534;1.360945,0.205331;-0.2021154;1.464089,0.2247948;-0.2115231;1.197876,-0.03177961;-0.4378401;1.46285,0
1296,-6196;7112;12560,1108;-437;-978,-0.0341105;0.05352624;1.329433,0.1403325;0.03128223;1.360786,0.2294237;-0.1391985;1.399823,0.2201824;-0.1840328;1.161903,-0.03182344;-0.4378852;1.462606,0
1329,-6116;7032;12364,1044;-452;-958,-0.03412014;0.05354001;1.329448,0.1403833;0.03125925;1.360822,0.2295335;-0.1390653;1.400215,0.2225372;-0.184237;1.1623,-0.03182726;-0.4379066;1.462586,0
1366,-6268;7092;12424,1070;-447;-987,-0.03409352;0.05354061;1.329366,0.1404773;0.0313373;1.360619,0.2178134;-0.2258274;1.385469,0.223874;-0.1951646;1.147512,-0.03187083;-0.4379115;1.462515,0
1396,-6212;7024;12396,1131;-404;-959,-0.03405358;0.05359925;1.329528,0.1406233;0.03126245;1.360983,0.2301867;-0.1370423;1.40529,0.2264295;-0.1844019;1.167886,-0.03204229;-0.4378997;1.462583,0
1429,-6224;7132;12436,1110;-512;-925,-0.03402783;0.05359283;1.329534,0.1406747;0.03133244;1.360975,0.2301542;-0.1370789;1.405124,0.2281659;-0.1854617;1.167942,-0.03219796;-0.4379577;1.462268,0
1462,-6244;7076;12376,1116;-460;-948,-0.03401025;0.05360963;1.329598,0.1406815;0.03139476;1.361004,0.2163406;-0.226396;1.385185,0.2296888;-0.1984055;1.147695,-0.03225471;-0.4379402;1.462336,0
1495,-6176;7036;12440,1152;-467;-935,-0.03402176;0.05362104;1.329608,0.1405617;0.03143803;1.360943,0.2286349;-0.1391921;1.401106,0.2316513;-0.1886467;1.164391,-0.03225634;-0.4379702;1.462315,0
1530,-6260;6924;12204,1202;-447;-989,-0.03399564;0.05359541;1.329461,0.1406357;0.03141451;1.360835,0.2290039;-0.1391018;1.400875,0.2328826;-0.189651;1.164422,-0.03261103;-0.4380566;1.461593,0
1564,-6224;7004;12576,1149;-458;-918,-0.0338801;0.05357816;1.329216,0.140806;0.03141693;1.360706,0.2290631;-0.1391972;1.400633,0.2339069;-0.1909607;1.164505,-0.03275886;-0.4382798;1.46109,0
1598,-6328;7080;12476,1091;-435;-943,-0.03387383;0.05358768;1.329195,0.1409181;0.03145806;1.36071,0.2291198;-0.1391956;1.400607,0.2351398;-0.1925836;1.164924,-0.03274734;-0.4382922;1.46107,0
1630,-6128;7080;12452,1155;-417;-949,-0.03375544;0.05369677;1.329704,0.1413106;0.03153612;1.361497,0.2290196;-0.1390885;1.402204,0.2365377;-0.194689;1.167171,-0.03280066;-0.4382195;1.461619,0
1663,-6216;7044;12448,1123;-469;-964,-0.0337303;0.0536969;1.329688,0.141248;0.0315489;1.361471,0.2289806;-0.1390654;1.402175,0.2396066;-0.2020436;1.187909,-0.03314077;-0.4382172;1.46146,0
1696,-6164;7012;12412,1140;-437;-934,-0.0335905;0.053693;1.329751,0.1412031;0.03156068;1.361497,0.228955;-0.1390411;1.402208,0.2384427;-0.1987866;1.168355,-0.03312929;-0.4382195;1.461437,0
1730,-6184;7040;12376,1144;-458;-884,-0.03341595;0.05374363;1.330294,0.1411445;0.03156217;1.361608,0.2292057;-0.1388712;1.402333,0.2425227;-0.2040418;1.193145,-0.03311448;-0.4382598;1.461704,0
1762,-6160;7084;12584,1186;-430;-970,-0.03314853;0.05373805;1.33029,0.1411179;0.03136382;1.361681,0.2318673;-0.1376879;1.406044,0.2431951;-0.204795;1.194221,-0.03308473;-0.4382379;1.461728,0
1797,-6160;7096;12320,1097;-424;-957,-0.03307115;0.05372136;1.330309,0.1411035;0.03126607;1.361707,0.2314949;-0.1391983;1.404012,0.2438147;-0.2053378;1.195212,-0.03315772;-0.4382325;1.461638,0
1831,-6312;7088;12572,1187;-432;-946,-0.0328779;0.05371638;1.330281,0.1410921;0.03107706;1.361772,0.2320327;-0.1398589;1.405682,0.2444455;-0.2063677;1.196325,-0.03318634;-0.4382115;1.461535,0
1863,-6144;7064;12428,1212;-481;-871,-0.03260989;0.05368093;1.330257,0.1410895;0.03090855;1.3618,0.2114963;-0.2226062;1.384777,0.2483868;-0.2067953;1.181494,-0.03307078;-0.4382221;1.461458,0
1895,-6132;7104;12452,1135;-458;-904,-0.03237986;0.05365385;1.329906,0.1410616;0.03094084;1.361672,0.2339492;-0.1381981;1.398483,0.2252582;-0.285909;1.165034,-0.03287956;-0.4381481;1.461289,0
1930,-6216;7124;12476,1157;-451;-926,-0.0319689;0.05356665;1.329491,0.1410122;0.0309777;1.361502,0.2339051;-0.1381209;1.398429,0.2425884;-0.22023;1.199403,-0.03271141;-0.4382316;1.460749,0
2020,-6080;7016;12488,1226;-476;-934,-0.03169601;0.05361899;1.329553,0.1409693;0.03098089;1.361479,0.2265435;-0.1589763;1.44056,0.2399125;-0.2170133;1.206585,-0.03249568;-0.4382813;1.46081,0
2051,-6172;7156;12484,1204;-523;-925,-0.03142499;0.05372205;1.33019,0.1409433;0.03100134;1.3615,0.2265594;-0.1584625;1.440292,0.2360082;-0.2292676;1.208782,-0.03207561;-0.4383487;1.461454,0
2071,-6148;7088;12460,1135;-425;-938,-0.03130722;0.05369543;1.330075,0.1409413;0.03101485;1.361469,0.2281459;-0.1531514;1.424165,0.2359238;-0.2292262;1.208847,-0.03197306;-0.4383409;1.461361,0
2097,-6224;7152;12504,1115;-577;-882,-0.03119002;0.05366692;1.330019,0.140943;0.03102074;1.361458,0.2286067;-0.1522226;1.421344,0.2384955;-0.2240296;1.191097,-0.03187846;-0.4383891;1.461238,0
2130,-6040;7096;12464,1169;-401;-925,-0.03100946;0.05368863;1.330088,0.1409442;0.03102249;1.361457,0.2284545;-0.1523885;1.423302,0.2327189;-0.2383227;1.194222,-0.03186011;-0.4383988;1.46129,0
2165,-6180;6928;12496,1148;-413;-946,-0.03082457;0.05367135;1.329865,0.1409409;0.0310355;1.361365,0.2283013;-0.1529603;1.425324,0.2324326;-0.2372837;1.195528,-0.03175845;-0.4383351;1.461069,0
2207,-6220;7072;12312,1190;-473;-940,-0.03052638;0.05364503;1.330335,0.142042;0.03089812;1.362243,0.228807;-0.1550504;1.435649,0.2324084;-0.2362549;1.201099,-0.03134377;-0.4383442;1.46209,0
2230,-6200;7160;12364,1108;-471;-899,-0.03044831;0.05363484;1.330228,0.1419863;0.03091658;1.362114,0.229147;-0.1511274;1.42069,0.2356458;-0.2266347;1.191547,-0.03121447;-0.4383772;1.46198,0
2265,-6148;7216;12524,1179;-455;-944,-0.03035829;0.05363171;1.330269,0.1419832;0.0309141;1.362111,0.230646;-0.1493206;1.41632,0.2312922;-0.236425;1.199099,-0.03113803;-0.4383932;1.462026,0
2297,-6148;7204;12384,1025;-404;-982,-0.03021022;0.05358422;1.330367,0.1429453;0.03047527;1.362649,0.2284401;-0.1570701;1.436334,0.2316137;-0.2313919;1.217271,-0.03061903;-0.4386204;1.462031,0
2330,-6212;7072;12396,1136;-342;-904,-0.03002219;0.05350138;1.33016,0.1428222;0.03050536;1.362458,0.2338294;-0.1486657;1.415703,0.2314042;-0.231909;1.215547,-0.03088433;-0.4389553;1.461016,0
2362,-6148;7116;12460,1212;-322;-891,-0.02990021;0.05345514;1.329982,0.142713;0.03055488;1.362289,0.2343873;-0.1477787;1.412726,0.2312282;-0.2323135;1.214102,-0.0308648;-0.4389591;1.461011,0
2395,-6276;7216;12316,1275;-514;-833,-0.02981404;0.05343141;1.329916,0.1431726;0.03050473;1.362237,0.2339213;-0.1483466;1.412596,0.2357681;-0.2289718;1.185145,-0.03087376;-0.4388954;1.461079,0
2430,-6080;7184;12400,1159;-511;-886,-0.02952936;0.05335135;1.330384,0.143092;0.03051728;1.362257,0.2334842;-0.1482941;1.414564,0.2327187;-0.2320771;1.225501,-0.0306137;-0.4387824;1.462168,0
2464,-6048;7060;12620,1080;-364;-942,-0.02942479;0.05333149;1.330334,0.143441;0.03046198;1.362131,0.233331;-0.1484704;1.414634,0.2326732;-0.23193;1.225422,-0.03060932;-0.4387835;1.462167,0
2498,-6212;7092;12408,1241;-114;-886,-0.02935051;0.05329116;1.330229,0.1438113;0.03041027;1.362012,0.2332696;-0.1485455;1.414437,0.2324561;-0.2310071;1.224773,-0.03060342;-0.4387875;1.462112,0
2529,-6064;7156;12464,1130;-396;-893,-0.02932215;0.05327918;1.330253,0.1440027;0.03037697;1.361996,0.2328605;-0.1497028;1.412639,0.2324351;-0.2315616;1.222707,-0.03061185;-0.4387753;1.462121,0
2562,-6148;7184;12480,1108;-425;-986,-0.02929781;0.0532724;1.330256,0.144104;0.03029839;1.361931,0.2324751;-0.1498253;1.413058,0.2326638;-0.2309286;1.222794,-0.0306168;-0.4387524;1.462174,0
2595,-6172;7220;12356,1101;-386;-911,-0.02927108;0.05327646;1.330257,0.1439255;0.03035752;1.361892,0.2321675;-0.1502569;1.413217,0.2325706;-0.2305727;1.222609,-0.03063572;-0.4387291;1.462193,0
2629,-6168;7116;12380,1001;-386;-913,-0.02921236;0.05326776;1.330256,0.1441297;0.03032567;1.361818,0.2321146;-0.1502358;1.413339,0.2330106;-0.2301356;1.222552,-0.03063511;-0.4387106;1.462198,0
2663,-6188;6956;12312,1259;-318;-858,-0.02910948;0.0531929;1.330149,0.1439611;0.03036448;1.361757,0.2320616;-0.1503527;1.413571,0.2332076;-0.2297643;1.222575,-0.03063736;-0.4387205;1.462177,0
2700,-6212;7324;12368,1041;-450;-888,-0.02906576;0.0531806;1.330157,0.1441135;0.03037035;1.361701,0.2319972;-0.150343;1.413611,0.2332927;-0.229604;1.22255,-0.03065934;-0.438599;1.462269,0
2732,-6240;7112;12492,1184;-324;-951,-0.02902863;0.05318747;1.330193,0.1444598;0.03029974;1.361876,0.2305884;-0.1529138;1.421001,0.2333459;-0.2293817;1.223301,-0.03066924;-0.4385444;1.462352,0
2771,-6144;7164;12324,1190;-379;-921,-0.02903325;0.05317779;1.330161,0.1445562;0.03021429;1.361819,0.2305669;-0.1529334;1.420409,0.2336352;-0.2293505;1.222678,-0.03091761;-0.4385481;1.462071,0
2795,-6148;7196;12408,1175;-399;-907,-0.02882403;0.05304916;1.329662,0.14421;0.03027484;1.361538,0.2306888;-0.1525362;1.419411,0.2337052;-0.2294682;1.221507,-0.03092326;-0.4386087;1.461728,0
2830,-6248;7120;12312,1111;-440;-873,-0.02881068;0.05304652;1.329659,0.1444116;0.03027507;1.361551,0.2308318;-0.1524993;1.418723,0.2338897;-0.2295561;1.221061,-0.0308704;-0.4385304;1.461804,0
2863,-6200;7208;12376,1214;-454;-900,-0.02872435;0.05302847;1.329563,0.1445782;0.03024163;1.361441,0.2309449;-0.1525771;1.417422,0.2340897;-0.22955;1.220688,-0.03081881;-0.4384163;1.461875,0
2896,-6260;7272;12420,1192;-514;-909,-0.02858808;0.05289653;1.329179,0.1441975;0.03022391;1.361138,0.2308415;-0.1526538;1.416947,0.234107;-0.22971;1.219798,-0.0307906;-0.4385003;1.461542,0
2931,-6224;7120;12312,1223;-491;-900,-0.02858488;0.05287912;1.329696,0.1444163;0.03011923;1.361452,0.2308592;-0.1525414;1.417104,0.234309;-0.2299288;1.219432,-0.03088713;-0.4385098;1.462213,0
3011,-6128;7256;12332,1242;-520;-925,-0.02852797;0.05286624;1.329676,0.1443302;0.03006875;1.361309,0.230855;-0.1525437;1.416751,0.2344527;-0.2305101;1.218213,-0.03078558;-0.4384813;1.462193,0
3031,-6168;7260;12348,1156;-529;-919,-0.02836994;0.05271421;1.329048,0.1440354;0.0301233;1.361046,0.2307566;-0.1525241;1.416222,0.2340378;-0.2311785;1.217018,-0.0312844;-0.4384939;1.46115,0
3063,-6268;7216;12320,1188;-516;-949,-0.02829372;0.05276047;1.329416,0.1445339;0.03002955;1.361457,0.2011181;-0.2334906;1.38091,0.2428762;-0.2312323;1.178014,-0.03124978;-0.4384935;1.461685,0
3097,-6176;7336;12232,1118;-482;-951,-0.02813047;0.05274759;1.329872,0.1443671;0.03008133;1.361609,0.2289369;-0.158658;1.438033,0.2341598;-0.2318764;1.217882,-0.031183;-0.4385305;1.462011,0
3134,-6168;7236;12356,1164;-467;-945,-0.02809284;0.05271927;1.329849,0.1441389;0.03014943;1.361552,0.1953235;-0.2206269;1.434597,0.2341552;-0.2318701;1.217905,-0.03129604;-0.4385107;1.461943,0
3164,-6176;7164;12428,1225;-517;-927,-0.02810169;0.05272634;1.32984,0.1439806;0.03018763;1.361508,0.2311357;-0.1543402;1.416533,0.2343403;-0.2318564;1.217409,-0.03131972;-0.4385014;1.461944,0
3195,-6060;7220;12484,1032;-411;-1019,-0.02801797;0.05265162;1.329704,0.1438242;0.03022637;1.361437,0.2311273;-0.1543484;1.416555,0.2341354;-0.2307488;1.220605,-0.03135156;-0.4384785;1.461923,0
3231,-6100;7196;12272,1230;-471;-985,-0.02800576;0.05264674;1.32967,0.1436848;0.03026439;1.361374,0.2308258;-0.1545151;1.418484,0.2341705;-0.2308478;1.220441,-0.03132635;-0.438481;1.461922,0
3263,-6080;7204;12400,1073;-451;-995,-0.02798007;0.05263281;1.329628,0.1439889;0.03019145;1.361246,0.2304211;-0.1543424;1.420087,0.2345355;-0.230062;1.221265,-0.031294;-0.4384935;1.461896,0
3296,-6124;7200;12372,1108;-397;-955,-0.02796322;0.05263613;1.329621,0.1443171;0.03013993;1.361285,0.2299341;-0.1542512;1.4215,0.2346576;-0.2300928;1.221022,-0.03124849;-0.4384954;1.461883,0
3332,-6288;7172;12364,1283;-428;-901,-0.02789474;0.05268447;1.329822,0.1441749;0.03015401;1.361367,0.2301203;-0.1539755;1.421494,0.2368795;-0.2309988;1.214367,-0.03111998;-0.4382301;1.462761,0
